algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=8, ef_construction=128, ef_search=128)",10,0.9525600000000001,0.9898999999999999,0.9994,0.08952562011184206,226.60566694073785,4.557034932076931,4.557034932076931,4.557034932076931,4.557034932076931,0.0,858.6696102619171,10.0,620704.0,2739.137146831933,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=128, ef_search=128)",10,0.98794,0.9989800000000001,1.0,0.08938455028292415,145.55879148790328,6.870076060295105,6.870076060295105,6.870076060295105,6.870076060295105,0.0,1236.958055973053,10.0,702840.0,4828.564409030628,sift-128-euclidean
pgvector,"PGVector(m=8, ef_construction=128, ef_search=128)",10,0.96797,0.99495,1.0,0.08945188334733524,348.4870133729817,2.920420840382576,2.920420840382576,2.920420840382576,2.920420840382576,0.0,1169.7601854801178,10.0,716728.0,2056.6849624117676,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=128, ef_search=128)",10,0.9933,0.99954,1.0,0.08937018582186365,210.56271492758353,4.842434078454971,4.842434078454971,4.842434078454971,4.842434078454971,0.0,1801.612820148468,10.0,800776.0,3803.0284719467163,sift-128-euclidean
