algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=16, ef_construction=200, ef_search=10)",10,0.70898,0.81328,0.99938,0.09071977779446382,570.3069286630683,1.7534417565912008,1.7534417565912008,1.7534417565912008,1.7534417565912008,0.0,1883.5643961429596,10.0,702840.0,1232.3890254106152,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=400)",10,0.99932,0.9999499999999999,1.0,0.08935551485011474,54.32898012028175,18.73452588915825,18.73452588915825,18.73452588915825,18.73452588915825,0.0,1883.5643961429596,10.0,702840.0,12936.742019525234,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=10)",10,0.75997,0.8638299999999999,0.99982,0.09036477172070355,526.3008375532711,1.970665529370308,1.970665529370308,1.970665529370308,1.970665529370308,0.0,2217.0368645191193,10.0,758056.0,1440.3473183210945,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=80)",10,0.9860099999999999,0.9987299999999999,1.0,0.08938951145031047,161.2586360062756,6.289224606007338,6.289224606007338,6.289224606007338,6.289224606007338,0.0,2217.0368645191193,10.0,758056.0,4700.870717835535,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=120)",10,0.9942,0.9995900000000001,1.0,0.0893671136449913,118.80383990482993,8.645320311188698,8.645320311188698,8.645320311188698,8.645320311188698,0.0,2217.0368645191193,10.0,758056.0,6380.736520025406,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=120)",10,0.98826,0.9991,1.0,0.08938239194047447,141.0541092705665,7.089477963745594,7.089477963745594,7.089477963745594,7.089477963745594,0.0,1883.5643961429596,10.0,702840.0,4982.768695180866,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=20)",10,0.83849,0.92688,0.9998799999999999,0.08995672887340737,435.888979412495,2.323651220649481,2.323651220649481,2.323651220649481,2.323651220649481,0.0,1883.5643961429596,10.0,702840.0,1612.428928456301,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=20)",10,0.8782099999999999,0.95508,0.9999,0.08977104451610261,380.538249306129,2.627856796607375,2.627856796607375,2.627856796607375,2.627856796607375,0.0,2217.0368645191193,10.0,758056.0,1992.062562389548,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=80)",10,0.9759800000000001,0.99709,1.0,0.08941743846834804,189.03036770888505,5.293803289532661,5.293803289532661,5.293803289532661,5.293803289532661,0.0,1883.5643961429596,10.0,702840.0,3718.132745117462,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=200)",10,0.99609,0.99977,1.0,0.08936261335021742,94.78369313188621,10.694713331758976,10.694713331758976,10.694713331758976,10.694713331758976,0.0,1883.5643961429596,10.0,702840.0,7415.199564149051,sift-128-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=40)",10,0.92736,0.98131,1.0,0.08957293272914917,301.30496180190755,3.3188965171575546,3.3188965171575546,3.3188965171575546,3.3188965171575546,0.0,1883.5643961429596,10.0,702840.0,2332.6532553489146,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=40)",10,0.95283,0.9911199999999999,1.0,0.08948493545188545,263.0140207917314,3.802078776061535,3.802078776061535,3.802078776061535,3.802078776061535,0.0,2217.0368645191193,10.0,758056.0,2882.1885529831484,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=200)",10,0.99824,0.99986,1.0,0.08935790037453653,80.49547565498503,12.423058040440083,12.423058040440083,12.423058040440083,12.423058040440083,0.0,2217.0368645191193,10.0,758056.0,9417.374005579333,sift-128-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=400)",10,0.9997400000000001,0.99997,1.0,0.0893545562541248,45.90686655655981,22.21083827316761,22.21083827316761,22.21083827316761,22.21083827316761,0.0,2217.0368645191193,10.0,758056.0,16512.91096215493,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=10)",10,0.7740199999999999,0.87198,0.99976,0.09031278264536693,1052.8377292020332,0.9509471128694713,0.9509471128694713,0.9509471128694713,0.9509471128694713,0.0,2786.3589882850647,10.0,800904.0,760.7098205029384,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=400)",10,0.99971,0.99997,1.0,0.08935468806041937,88.88606949317455,11.263175867497921,11.263175867497921,11.263175867497921,11.263175867497921,0.0,2786.3589882850647,10.0,800904.0,9010.455795455107,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=800)",10,0.99996,1.0,1.0,0.08935411517846326,49.950520592755474,20.37525363266468,20.37525363266468,20.37525363266468,20.37525363266468,0.0,2786.3589882850647,10.0,800904.0,16033.947003870833,sift-128-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=10)",10,0.83101,0.9194100000000001,0.9998699999999999,0.09000735276005653,835.5861212789214,1.200370374135673,1.200370374135673,1.200370374135673,1.200370374135673,0.0,3896.7473294734955,10.0,910176.0,1089.2665361733316,sift-128-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=80)",10,0.99217,0.99946,1.0,0.0893736519499509,229.7272759776825,4.352987743914127,4.352987743914127,4.352987743914127,4.352987743914127,0.0,3896.7473294734955,10.0,910176.0,3961.984906347915,sift-128-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=120)",10,0.99677,0.9998400000000001,1.0,0.08936205498901276,171.14466767882638,5.843009799718857,5.843009799718857,5.843009799718857,5.843009799718857,0.0,3896.7473294734955,10.0,910176.0,5318.167444796207,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=120)",10,0.99352,0.9995100000000001,1.0,0.08936967958077469,231.81176392041775,4.356883466243744,4.356883466243744,4.356883466243744,4.356883466243744,0.0,2786.3589882850647,10.0,800904.0,3454.975651170813,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=20)",10,0.88224,0.9576499999999999,1.0,0.08974916565267312,782.857638380604,1.2986621586605906,1.2986621586605906,1.2986621586605906,1.2986621586605906,0.0,2786.3589882850647,10.0,800904.0,1023.0519071854828,sift-128-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=800)",10,0.99999,1.0,1.0,0.08935402544603183,39.099898869195606,25.682926177978516,25.682926177978516,25.682926177978516,25.682926177978516,0.0,3896.7473294734955,10.0,910176.0,23278.218776086695,sift-128-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=20)",10,0.91923,0.97715,1.0,0.08960964838836676,595.196437412901,1.6907525714486837,1.6907525714486837,1.6907525714486837,1.6907525714486837,0.0,3896.7473294734955,10.0,910176.0,1529.2027014748253,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=80)",10,0.98539,0.9983299999999999,1.0,0.08939142426855441,317.0540020015364,3.1930855475366116,3.1930855475366116,3.1930855475366116,3.1930855475366116,0.0,2786.3589882850647,10.0,800904.0,2526.0807147803134,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=200)",10,0.9980600000000001,0.99985,1.0,0.08935860528348151,154.406130431787,6.500585936009884,6.500585936009884,6.500585936009884,6.500585936009884,0.0,2786.3589882850647,10.0,800904.0,5186.996123536821,sift-128-euclidean
