algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=16, ef_construction=128, ef_search=128)",10,0.98857,0.9991199999999999,1.0,0.08938348981269066,202.68289306066063,4.952806048095226,4.952806048095226,4.952806048095226,4.952806048095226,0.0,823.7808558940887,10.0,702840.0,3467.682888213206,sift-128-euclidean
lantern,"Lantern(m=8, ef_construction=128, ef_search=128)",10,0.9512,0.9901,0.99971,0.08951483230785118,318.78894882140463,3.1969554256647825,3.1969554256647825,3.1969554256647825,3.1969554256647825,0.0,607.8950910568237,10.0,620704.0,1947.068749700409,sift-128-euclidean
pgvector,"PGVector(m=16, ef_construction=128, ef_search=128)",10,0.99328,0.99956,1.0,0.08937024623459301,348.7811738207975,2.942146733403206,2.942146733403206,2.942146733403206,2.942146733403206,0.0,1238.2354691028595,10.0,800824.0,2296.0642950627275,sift-128-euclidean
pgvector,"PGVector(m=8, ef_construction=128, ef_search=128)",10,0.96815,0.99487,1.0,0.08944909271005919,577.5172128687116,1.7795980675145984,1.7795980675145984,1.7795980675145984,1.7795980675145984,0.0,743.7926297187805,10.0,716720.0,1241.0366029435277,sift-128-euclidean
